timestamp,algo,heuristic,steps,visited,cost,time_ms
19:58:22,A*(manhattan),manhattan,28,44,28,0.164
19:58:29,A*(manhattan),manhattan,0,1,0,0.023
19:58:29,A*(manhattan),manhattan,0,1,0,0.015
19:58:29,A*(manhattan),manhattan,0,1,0,0.018
19:58:29,A*(manhattan),manhattan,33,49,33,0.231
19:58:32,A*(manhattan),manhattan,31,47,31,0.256
19:58:33,A*(manhattan),manhattan,29,45,29,0.223
19:58:34,A*(manhattan),manhattan,30,53,31,0.167
19:58:37,A*(manhattan),manhattan,25,58,25,0.265
19:58:38,A*(manhattan),manhattan,36,202,55,0.904
19:58:39,A*(manhattan),manhattan,27,115,41,0.495
19:58:40,A*(manhattan),manhattan,30,149,51,0.482
19:58:40,A*(manhattan),manhattan,27,121,42,0.475
19:58:41,A*(manhattan),manhattan,29,131,49,0.538
19:58:41,A*(manhattan),manhattan,27,121,42,0.505
19:58:41,A*(manhattan),manhattan,29,131,49,0.509
19:58:41,A*(manhattan),manhattan,27,121,42,0.377
19:58:43,A*(manhattan),manhattan,31,171,52,0.76
19:58:44,A*(manhattan),manhattan,31,174,53,0.732
19:58:44,A*(manhattan),manhattan,28,121,47,0.363
19:58:51,A*(manhattan),manhattan,0,1,0,0.031
19:58:51,A*(manhattan),manhattan,0,1,0,0.021
19:58:51,A*(manhattan),manhattan,0,1,0,0.015
19:58:51,A*(manhattan),manhattan,34,137,57,0.425
19:58:51,A*(manhattan),manhattan,31,116,51,0.513
19:58:58,A*(manhattan),manhattan,48,189,69,0.821
19:59:04,A*(manhattan),manhattan,29,186,56,0.817
19:59:11,A*(manhattan),manhattan,28,92,48,0.354
19:59:18,A*(manhattan),manhattan,38,212,69,0.91
19:59:23,UCS,-,17,88,27,0.234
19:59:26,UCS,-,0,1,0,0.02
19:59:27,UCS,-,0,1,0,0.012
19:59:27,UCS,-,0,1,0,0.014
19:59:27,UCS,-,37,246,68,0.811
19:59:35,UCS,-,37,285,73,0.975
19:59:35,UCS,-,38,285,75,1.009
19:59:44,UCS,-,0,1,0,0.018
19:59:44,UCS,-,0,1,0,0.021
19:59:44,UCS,-,0,1,0,0.04
19:59:44,UCS,-,42,289,80,1.0
19:59:54,UCS,-,0,1,0,0.019
19:59:54,UCS,-,0,1,0,0.013
19:59:54,UCS,-,0,1,0,0.012
19:59:54,UCS,-,42,282,82,1.426
20:00:04,UCS,-,0,1,0,0.02
20:00:04,UCS,-,0,1,0,0.014
20:00:04,UCS,-,0,1,0,0.012
20:00:04,UCS,-,0,1,0,0.014
20:00:04,UCS,-,35,249,67,0.597
20:00:12,UCS,-,34,270,67,0.678
20:00:17,A*(manhattan),manhattan,26,35,26,0.177
20:00:25,A*(manhattan),manhattan,22,23,22,0.109
20:00:49,A*(manhattan),manhattan,26,35,26,0.182
20:00:55,A*(manhattan),manhattan,26,35,26,0.181
20:01:01,A*(manhattan),manhattan,0,1,0,0.028
20:01:01,A*(manhattan),manhattan,0,1,0,0.023
20:01:01,A*(manhattan),manhattan,0,1,0,0.018
20:01:01,A*(manhattan),manhattan,0,1,0,0.024
20:01:01,A*(manhattan),manhattan,43,123,43,0.565
20:01:04,A*(manhattan),manhattan,35,62,35,0.206
20:01:05,A*(manhattan),manhattan,33,95,37,0.307
20:01:06,A*(manhattan),manhattan,28,58,32,0.269
20:01:12,A*(manhattan),manhattan,0,1,0,0.018
20:01:12,A*(manhattan),manhattan,0,1,0,0.017
20:01:12,A*(manhattan),manhattan,0,1,0,0.018
20:01:12,A*(manhattan),manhattan,28,73,41,0.317
20:01:19,A*(manhattan),manhattan,0,1,0,0.019
20:01:19,A*(manhattan),manhattan,0,1,0,0.019
20:01:19,A*(manhattan),manhattan,0,1,0,0.017
20:01:19,A*(manhattan),manhattan,0,1,0,0.017
20:01:19,A*(manhattan),manhattan,42,140,64,0.422
20:01:29,A*(manhattan),manhattan,33,137,56,0.588
20:01:36,A*(manhattan),manhattan,0,1,0,0.025
20:01:36,A*(manhattan),manhattan,0,1,0,0.019
20:01:36,A*(manhattan),manhattan,0,1,0,0.019
20:01:36,A*(manhattan),manhattan,0,1,0,0.019
20:01:36,A*(manhattan),manhattan,47,236,71,0.7
20:01:47,A*(manhattan),manhattan,0,1,0,0.024
20:01:47,A*(manhattan),manhattan,0,1,0,0.017
20:01:47,A*(manhattan),manhattan,0,1,0,0.016
20:01:47,A*(manhattan),manhattan,36,200,71,0.603
